vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2020-01-01T00:11:35.000,2020-01-01T00:39:51.000,N,1,264,264,1,6.80,26.5,0.5,0.5,0,0,0.3,27.8,1,1,0
2,2020-01-01T00:51:50.000,2020-01-01T00:52:28.000,N,5,181,264,2,0.03,81,0,0,4,0,0.3,85.3,1,2,0
2,2020-01-01T00:14:00.000,2020-01-01T00:36:55.000,N,1,129,63,1,6.09,21,0.5,0.5,0,0,0.3,22.3,2,1,0
2,2020-01-01T00:21:26.000,2020-01-01T00:46:27.000,N,1,112,258,1,12.49,35,0.5,0.5,7.26,0,0.3,45.51,1,1,0
2,2019-12-31T23:22:08.000,2019-12-31T23:24:44.000,N,1,130,130,1,0.54,4,0.5,0.5,0,0,0.3,5.3,2,1,0
2,2020-01-01T00:46:42.000,2020-01-01T00:51:40.000,N,1,82,129,1,0.60,5,0.5,0.5,0,0,0.3,6.3,2,1,0
2,2020-01-01T00:31:51.000,2020-01-01T00:40:00.000,N,1,255,17,1,1.81,8,0.5,0.5,0,0,0.3,9.3,2,1,0
2,2020-01-01T00:47:03.000,2020-01-01T01:22:45.000,N,1,80,239,1,8.81,30,0.5,0.5,8.51,0,0.3,42.56,1,1,2.75
1,2020-01-01T00:21:42.000,2020-01-01T00:59:13.000,N,5,181,161,4,8.30,0,0,0,0,0,0,0,4,2,0
2,2020-01-01T00:18:01.000,2020-01-01T00:27:38.000,N,1,7,223,1,1.86,8.5,0.5,0.5,0,0,0.3,9.8,2,1,0
2,2020-01-01T00:36:07.000,2020-01-01T00:45:20.000,N,1,7,223,1,1.41,7.5,0.5,0.5,0,0,0.3,8.8,2,1,0
2,2020-01-01T00:16:12.000,2020-01-01T00:40:07.000,N,1,181,112,1,5.75,22,0.5,0.5,4.66,0,0.3,27.96,1,1,0
2,2020-01-01T00:40:59.000,2020-01-01T00:50:27.000,N,1,146,223,1,2.22,9.5,0.5,0.5,0,0,0.3,10.8,2,1,0
2,2019-12-31T23:55:06.000,2020-01-01T00:01:09.000,N,1,41,74,1,1.07,6,0.5,0.5,0,0,0.3,7.3,2,1,0
2,2020-01-01T00:21:08.000,2020-01-01T00:32:12.000,N,1,74,116,1,2.68,11.5,0.5,0.5,0,0,0.3,12.8,2,1,0
2,2020-01-01T00:07:28.000,2020-01-01T00:17:36.000,N,1,244,166,1,1.93,9.5,0.5,0.5,0,0,0.3,10.8,2,1,0
2,2020-01-01T00:20:11.000,2020-01-01T00:40:41.000,N,1,166,167,1,3.73,16,0.5,0.5,0,0,0.3,17.3,2,1,0
2,2020-01-01T00:54:35.000,2020-01-01T01:09:32.000,N,1,167,116,1,2.57,12,0.5,0.5,0,0,0.3,13.3,2,1,0
2,2020-01-01T00:07:57.000,2020-01-01T00:13:57.000,N,1,260,226,1,0.95,5,0.5,0.5,1.89,0,0.3,8.19,1,1,0
1,2020-01-01T00:01:17.000,2020-01-01T00:08:51.000,N,1,134,197,1,2.10,9,0.5,0.5,2.05,0,0.3,12.35,1,1,0
1,2020-01-01T00:24:48.000,2020-01-01T00:54:11.000,N,1,197,226,1,6.50,25,0.5,0.5,0,0,0.3,26.3,2,1,0
2,2020-01-01T00:28:37.000,2020-01-01T00:37:01.000,N,1,66,25,1,1.15,7,0.5,0.5,0,0,0.3,8.3,2,1,0
2,2020-01-01T00:43:05.000,2020-01-01T01:05:42.000,N,1,33,263,1,8.75,26,0.5,0.5,6.01,0,0.3,36.06,1,1,2.75
2,2020-01-01T00:56:13.000,2020-01-01T01:16:30.000,N,1,177,80,1,3.58,15,0.5,0.5,0,0,0.3,16.3,2,1,0
2,2020-01-01T00:33:48.000,2020-01-01T00:38:16.000,N,1,74,75,1,0.92,5.5,0.5,0.5,1.02,0,0.3,9.77,1,1,0
2,2020-01-01T00:40:16.000,2020-01-01T00:45:43.000,N,1,75,74,1,1.03,6,0.5,0.5,0,0,0.3,7.3,2,1,0
2,2020-01-01T00:44:09.000,2020-01-01T00:55:00.000,N,1,210,29,1,1.02,5.5,0.5,0.5,0,0,0.3,6.8,2,1,0
2,2020-01-01T00:14:51.000,2020-01-01T00:35:42.000,N,1,190,256,1,4.44,17,0.5,0.5,0,0,0.3,18.3,1,1,0
2,2020-01-01T00:39:35.000,2020-01-01T01:08:42.000,N,1,256,61,1,4.10,19,0.5,0.5,2,0,0.3,22.3,1,1,0
2,2020-01-01T00:33:38.000,2020-01-01T00:47:34.000,N,1,189,228,1,2.17,11,0.5,0.5,1.23,0,0.3,15.48,1,1,0
2,2020-01-01T00:48:24.000,2020-01-01T01:06:38.000,N,1,228,14,1,3.01,14.5,0.5,0.5,0,0,0.3,15.8,2,1,0
2,2020-01-01T00:39:36.000,2020-01-01T00:53:15.000,N,1,25,62,1,2.79,12,0.5,0.5,3.32,0,0.3,16.62,1,1,0
2,2020-01-01T00:27:32.000,2020-01-01T00:43:50.000,N,1,55,228,1,7.54,23.5,0.5,0.5,0,0,0.3,24.8,1,1,0
1,2020-01-01T00:06:05.000,2020-01-01T00:30:30.000,N,1,173,72,1,0.00,30.2,0,0.5,0,0,0.3,31,1,1,0
1,2020-01-01T00:42:01.000,2020-01-01T01:19:43.000,N,1,61,55,1,0.00,39.33,0,0.5,0,0,0.3,40.13,1,1,0
2,2020-01-01T00:18:57.000,2020-01-01T00:28:40.000,N,1,7,223,1,1.84,8.5,0.5,0.5,2.94,0,0.3,12.74,1,1,0
