vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-02T10:15:46.000,2021-01-02T10:22:55.000,1,41,166,1,1.08,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,1,0.0
2,2021-01-02T10:51:54.000,2021-01-02T10:58:50.000,1,74,236,1,2.16,8.0,0.0,0.5,0.0,0.0,0.3,11.55,2,1,2.75
2,2021-01-02T10:36:06.000,2021-01-02T10:46:16.000,1,130,191,1,1.74,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,1,0.0
2,2021-01-02T10:36:12.000,2021-01-02T10:43:59.000,1,41,159,2,1.71,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2,1,0.0
2,2021-01-02T10:59:08.000,2021-01-02T11:35:47.000,2,43,132,2,22.88,52.0,0.0,0.5,11.78,6.12,0.3,70.7,1,1,0.0
2,2021-01-02T10:24:57.000,2021-01-02T10:29:35.000,1,95,95,1,1.09,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,1,0.0
2,2021-01-02T10:55:03.000,2021-01-02T11:04:23.000,1,95,196,1,1.63,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2,1,0.0
2,2021-01-02T10:47:10.000,2021-01-02T11:07:35.000,1,244,249,1,9.99,29.5,0.0,0.5,10.0,0.0,0.3,43.05,1,1,2.75
2,2021-01-02T11:30:09.000,2021-01-02T11:39:47.000,1,7,223,1,2.04,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,1,0.0
1,2021-01-02T11:32:14.000,2021-01-02T11:42:00.000,1,74,263,1,2.3,10.0,2.75,0.5,3.35,0.0,0.3,16.9,1,1,2.75
2,2021-01-02T11:46:25.000,2021-01-02T12:13:21.000,1,169,159,2,3.28,19.0,0.0,0.5,2.75,0.0,0.3,22.55,1,1,0.0
