vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-02T08:07:05.000,2021-01-02T09:33:06.000,N,1,69,136,1,13.83,66,0,0.5,2.75,0,0.3,69.55,1,1,0
2,2021-01-02T08:36:32.000,2021-01-02T09:54:15.000,N,1,185,241,1,10.99,50.5,0,0.5,2.75,0,0.3,54.05,1,1,0
1,2021-01-02T08:08:04.000,2021-01-02T08:14:22.000,N,1,41,238,1,1.30,7,0,0.5,2.3,0,0.3,10.1,1,1,0
2,2021-01-02T08:39:39.000,2021-01-02T08:44:54.000,N,1,7,226,1,0.84,6,0,0.5,0,0,0.3,6.8,2,1,0
2,2021-01-02T08:06:35.000,2021-01-02T08:08:52.000,N,1,260,260,1,0.41,4,0,0.5,0,0,0.3,4.8,2,1,0
2,2021-01-02T08:51:35.000,2021-01-02T08:56:51.000,N,1,74,41,1,1.00,6,0,0.5,1.36,0,0.3,8.16,1,1,0
2,2021-01-02T08:18:49.000,2021-01-02T08:22:51.000,N,1,65,97,1,0.69,5,0,0.5,0,0,0.3,5.8,2,1,0
2,2021-01-02T08:05:40.000,2021-01-02T08:40:14.000,N,1,197,97,1,16.37,47.5,0,0.5,2.75,0,0.3,51.05,1,1,0
2,2021-01-02T08:39:40.000,2021-01-02T08:55:12.000,N,1,43,116,1,3.40,14.5,0,0.5,0,0,0.3,15.3,2,1,0
2,2021-01-02T08:00:12.000,2021-01-02T08:05:41.000,N,1,74,75,1,1.46,6.5,0,0.5,1.46,0,0.3,8.76,1,1,0
2,2021-01-02T08:41:47.000,2021-01-02T08:49:27.000,N,1,74,42,1,1.47,7.5,0,0.5,0,0,0.3,8.3,2,1,0
1,2021-01-02T08:03:27.000,2021-01-02T08:21:23.000,N,1,166,140,1,4.10,16,2.75,0.5,3.9,0,0.3,23.45,1,1,2.75
2,2021-01-02T08:10:28.000,2021-01-02T08:18:49.000,N,1,43,142,1,2.74,10,0,0.5,1,0,0.3,14.55,1,1,2.75
2,2021-01-02T08:28:44.000,2021-01-02T08:42:23.000,N,1,24,161,1,3.41,13.5,0,0.5,0,0,0.3,17.05,1,1,2.75
1,2021-01-02T08:29:46.000,2021-01-02T08:47:31.000,N,1,152,138,1,8.70,25.5,0,0.5,6.45,6.12,0.3,38.87,1,1,0
2,2021-01-02T08:56:17.000,2021-01-02T09:08:32.000,N,1,130,191,1,3.27,12,0,0.5,0,0,0.3,12.8,2,1,0
2,2021-01-02T08:23:01.000,2021-01-02T08:23:15.000,N,2,69,69,1,0.00,52,0,0.5,0,0,0.3,52.8,2,1,0
2,2021-01-02T08:23:26.000,2021-01-02T08:35:09.000,N,1,69,168,1,3.06,12,0,0.5,0,0,0.3,12.8,1,1,0
2,2021-01-02T08:24:22.000,2021-01-02T08:30:58.000,N,1,74,42,1,1.19,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,2021-01-02T08:43:33.000,2021-01-02T08:59:40.000,N,1,166,170,1,5.35,18.5,0,0.5,2.5,0,0.3,24.55,1,1,2.75
2,2021-01-02T08:05:37.000,2021-01-02T08:29:40.000,N,1,75,81,2,12.04,35,0,0.5,0,0,0.3,35.8,2,1,0
2,2021-01-02T08:34:38.000,2021-01-02T08:50:33.000,N,1,243,254,1,5.41,18.5,0,0.5,3.86,0,0.3,23.16,1,1,0
2,2021-01-02T09:31:43.000,2021-01-02T09:40:59.000,N,5,193,161,1,2.79,20,0,0,0,0,0.3,23.05,1,2,2.75
2,2021-01-02T08:59:04.000,2021-01-02T09:15:22.000,N,1,41,47,1,3.63,14.5,0,0.5,3.06,0,0.3,18.36,1,1,0
2,2021-01-02T09:35:20.000,2021-01-02T09:43:42.000,N,1,42,47,1,3.69,12,0,0.5,0,0,0.3,12.8,2,1,0
2,2021-01-02T09:45:25.000,2021-01-02T09:52:40.000,N,1,116,116,1,0.97,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,2021-01-02T09:23:18.000,2021-01-02T09:28:54.000,N,1,166,116,1,1.24,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,2021-01-02T09:46:37.000,2021-01-02T09:56:49.000,N,1,41,239,1,2.51,10.5,0,0.5,2.81,0,0.3,16.86,1,1,2.75
1,2021-01-02T09:56:46.000,2021-01-02T10:11:36.000,N,1,82,7,1,2.40,11.5,0,0.5,2,0,0.3,14.3,1,1,0
2,2021-01-02T09:17:03.000,2021-01-02T09:28:06.000,N,1,41,244,1,3.50,13,0,0.5,2.76,0,0.3,16.56,1,1,0
2,2021-01-02T09:30:34.000,2021-01-02T09:32:35.000,N,1,74,41,1,0.68,4,0,0.5,1,0,0.3,5.8,1,1,0
2,2021-01-02T09:35:40.000,2021-01-02T09:40:02.000,N,1,41,74,1,0.87,5.5,0,0.5,1.26,0,0.3,7.56,1,1,0
2,2021-01-02T09:08:53.000,2021-01-02T09:20:42.000,N,1,42,163,1,3.89,12.5,0,0.5,0,0,0.3,16.05,1,1,2.75
2,2021-01-02T09:30:27.000,2021-01-02T09:32:32.000,N,1,75,41,1,0.45,3.5,0,0.5,0.86,0,0.3,5.16,1,1,0
2,2021-01-02T09:42:13.000,2021-01-03T09:32:32.000,N,1,42,42,1,0.59,4,0,0.5,0,0,0.3,4.8,2,1,0
1,2021-01-02T09:38:23.000,2021-01-02T09:50:28.000,N,1,61,177,1,0.00,14.2,0,0.5,0,0,0.3,15,1,1,0
2,2021-01-02T09:55:06.000,2021-01-02T10:03:30.000,N,1,75,236,1,1.69,7.5,0,0.5,0,0,0.3,11.05,2,1,2.75
2,2021-01-02T09:40:13.000,2021-01-02T09:49:52.000,N,1,129,7,1,2.75,10.5,0,0.5,0,0,0.3,11.3,2,1,0
2,2021-01-02T09:29:13.000,2021-01-02T09:39:22.000,N,1,244,239,1,4.70,15.5,0,0.5,0.18,0,0.3,19.23,1,1,2.75
2,2021-01-02T09:55:44.000,2021-01-02T10:10:22.000,N,1,244,236,1,5.52,17.5,0,0.5,0,0,0.3,21.05,1,1,2.75
2,2021-01-02T10:00:56.000,2021-01-02T10:17:39.000,N,1,260,75,1,5.40,17.5,0,0.5,0,0,0.3,21.05,2,1,2.75
2,2021-01-02T09:35:45.000,2021-01-02T10:22:17.000,N,1,134,220,1,17.34,56,0,0.5,2.75,6.12,0.3,65.67,1,1,0
2,2021-01-02T10:00:44.000,2021-01-02T10:23:18.000,N,1,122,101,1,5.60,21,0,0.5,0,0,0.3,21.8,2,1,0
2,2021-01-02T08:58:44.000,2021-01-02T09:03:46.000,N,1,75,237,1,2.29,8,0,0.5,2.31,0,0.3,13.86,1,1,2.75
2,2021-01-02T09:28:40.000,2021-01-02T09:51:11.000,N,1,181,21,1,5.66,21,0,0.5,0,0,0.3,21.8,1,1,0
2,2021-01-02T09:31:43.000,2021-01-02T09:36:05.000,N,1,74,41,1,0.87,5,0,0.5,1.16,0,0.3,6.96,1,1,0
2,2021-01-02T09:16:06.000,2021-01-02T09:19:40.000,N,1,42,42,1,0.66,4.5,0,0.5,0,0,0.3,5.3,2,1,0
2,2021-01-02T09:23:24.000,2021-01-02T09:28:08.000,N,1,42,24,1,1.31,6.5,0,0.5,0,0,0.3,7.3,1,1,0
2,2021-01-02T09:15:32.000,2021-01-02T09:29:08.000,N,1,7,263,1,4.19,14.5,0,0.5,4.51,0,0.3,22.56,1,1,2.75
2,2021-01-02T09:39:24.000,2021-01-02T09:52:28.000,N,1,75,152,1,2.74,11,0,0.5,0,0,0.3,11.8,2,1,0
